14070,321.60,1,321.600000,364080.6,High Value
12530,3759.26,9,417.700000,472874.4,High Value
16917,1851.88,2,925.940000,1048246.2,High Value
13300,1285.51,3,428.500000,485100,High Value
12915,975.10,4,243.780000,275981.4,High Value
14840,362.71,2,181.360000,205315.2,High Value
14455,617.72,4,154.430000,174828.6,High Value
17687,432.68,1,432.680000,489832.2,High Value
13685,3119.44,7,445.630000,504493.2,High Value
18228,779.90,2,389.950000,441459,High Value
15059,3491.20,19,183.750000,208020.6,High Value
16585,341.59,2,170.800000,193361.4,High Value
13134,2475.23,6,412.540000,467031.6,High Value
12749,6897.36,9,766.370000,867600,High Value
18125,1131.75,4,282.940000,320313.6,High Value
17355,273.31,1,273.310000,309411,High Value
14674,173.66,1,173.660000,196597.8,High Value
13519,343.21,2,171.610000,194277.6,High Value
13904,332.64,2,166.320000,188289,High Value
14289,911.26,6,151.880000,171941.4,High Value
12364,1313.10,4,328.280000,371642.4,High Value
12583,13591.58,27,503.390000,569881.8,High Value
14123,436.18,1,436.180000,493794,High Value
17023,800.18,3,266.730000,301962.6,High Value
13738,434.78,1,434.780000,492210,High Value
14893,1809.61,3,603.200000,682876.8,High Value
14508,822.92,5,164.580000,186319.8,High Value
12968,135.95,1,135.950000,153907.2,High Value
17793,300.34,1,300.340000,340011,High Value
12417,6797.41,20,339.870000,384762.6,High Value
18231,6854.17,28,244.790000,277124.4,High Value
13957,458.25,3,152.750000,172926,High Value
13187,341.36,4,85.340000,96613.2,Medium Value
15112,209.40,1,209.400000,237060,High Value
12802,2416.42,7,345.200000,390798,High Value
16691,178.83,2,89.420000,101232,High Value
14727,463.73,3,154.580000,174997.8,High Value
14342,918.44,6,153.070000,173289.6,High Value
13572,1384.25,1,1384.250000,1567094.4,High Value
17461,735.82,3,245.270000,277668,High Value
13021,4887.24,17,287.480000,325452.6,High Value
14176,756.46,5,151.290000,171273.6,High Value
13406,568.92,2,284.460000,322034.4,High Value
15331,767.91,3,255.970000,289780.2,High Value
17129,31.85,1,31.850000,36057.6,Medium Value
12636,141.00,1,141.000000,159624,High Value
14561,1080.76,3,360.250000,407835,High Value
13791,1516.00,2,758.000000,858123,High Value
17899,154.55,1,154.550000,174963.6,High Value
14946,100.90,1,100.900000,114228,High Value
16797,1802.02,5,360.400000,408004.2,High Value
14395,7801.93,20,390.100000,441628.2,High Value
15550,2211.05,12,184.250000,208587.6,High Value
12470,211.95,1,211.950000,239945.4,High Value
12855,612.84,4,153.210000,173448,High Value
13240,1475.79,8,184.470000,208836,High Value
13625,301.26,1,301.260000,341053.2,High Value
14010,445.15,2,222.580000,251980.2,High Value
15165,487.75,1,487.750000,552177,High Value
17567,4838.08,9,537.560000,608565.6,High Value
14780,447.68,2,223.840000,253407.6,High Value
14229,2594.04,7,370.580000,419529.6,High Value
13074,1378.74,4,344.690000,390220.2,High Value
13459,1160.41,2,580.210000,656848.8,High Value
17235,1562.98,8,195.370000,221176.8,High Value
14999,129.48,1,129.480000,146583,High Value
15384,2027.79,4,506.950000,573912,High Value
14614,295.13,1,295.130000,334114.2,High Value
16465,746.24,2,373.120000,422406,High Value
18005,226.47,2,113.240000,128197.8,High Value
12689,1247.61,2,623.810000,706208.4,High Value
13844,361.62,1,361.620000,409386.6,High Value
12523,4352.35,23,189.230000,214225.2,High Value
14063,22710.20,9,2523.360000,2856668.4,High Value
13293,1192.94,6,198.820000,225082.8,High Value
15218,11468.83,22,521.310000,590169.6,High Value
